shape_id,meters
B170071-17,223.243054
B170071-18,231.7478305
B170071-19,261.9091372
B170071-2,233.1125829
B170071-20,216.0233364
B170071-21,240.9906625
B170071-22,240.6836418
B170071-23,185.2438553
B170071-24,101.5824046
B170071-25,202.2532171
B170071-26,154.3021327
B170071-27,206.5373367
B170071-28,160.1809937
B170071-29,176.0629124
B170071-3,234.6611766
B170071-30,226.884207
B170071-31,396.162619
B170071-4,199.8710973
B170071-5,242.328357
B170071-6,153.770826
B170071-7,284.6687459
B170071-8,171.4954166
B170071-9,320.1253071
B1C0047-1,1.158214693
B1C0047-10,154.4182676
B1C0047-11,212.3106854
B1C0047-12,195.8999968
B1C0047-13,155.3549606
B1C0047-14,154.5206954
B1C0047-15,99.95538498
B1C0047-16,366.0616799
B1C0047-17,165.8860426
B1C0047-18,135.0412169
B1C0047-19,459.4947108
B1C0047-2,293.9226286
B1C0047-20,690.5532867
B1C0047-21,255.1885266
B1C0047-22,158.2253719
B1C0047-23,168.7805479
B1C0047-24,119.266812
B1C0047-25,228.7283059
B1C0047-26,200.9068557
B1C0047-27,245.3157179
B1C0047-28,231.1602561
B1C0047-29,111.4129183
B1C0047-3,138.6142438
B1C0047-30,180.7975686
B1C0047-31,208.3082106
B1C0047-32,236.3125625
B1C0047-33,236.1069846
B1C0047-34,240.5345955
B1C0047-35,244.1887117
B1C0047-36,236.8099603
B1C0047-37,238.3039271
B1C0047-38,64.18275774
B1C0047-39,220.8156024
B1C0047-4,133.484067
B1C0047-40,239.4262021
B1C0047-41,265.5121928
B1C0047-42,242.4624943
B1C0047-43,242.1348781
