stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
300408,"BAY RIDGE PY/6 AV",,  40.628330, -74.020561,,,0,
300409,"BAY RIDGE PY/5 AV",,  40.629463, -74.022453,,,0,
300410,"4 AV/BAY RIDGE PY",,  40.630535, -74.025307,,,0,
300411,"4 AV/77 ST",,  40.629570, -74.025711,,,0,
300412,"78 ST/4 AV",,  40.628784, -74.026337,,,0,
300413,"78 ST/3 AV",,  40.629299, -74.028503,,,0,
300414,"78 ST/RIDGE BL",,  40.630070, -74.031738,,,0,
300415,"78 ST/COLONIAL RD",,  40.630688, -74.034363,,,0,
300418,"CROPSEY AV/BAY 49 ST",,  40.586094, -73.987892,,,0,
300419,"CROPSEY AV/BAY 46 ST",,  40.588211, -73.989594,,,0,
300420,"CROPSEY AV/BAY 44 ST",,  40.589413, -73.990562,,,0,
300421,"CROPSEY AV/26 AV",,  40.590744, -73.991638,,,0,
300422,"CROPSEY AV/25 AV",,  40.592278, -73.992874,,,0,
300424,"CROPSEY AV/23 AV",,  40.595959, -73.996910,,,0,
300425,"CROPSEY AV/24 AV",,  40.594376, -73.995010,,,0,
300427,"BAY PY/BATH AV",,  40.598377, -73.997368,,,0,
300428,"BAY PY/BENSON AV",,  40.600433, -73.995232,,,0,
300429,"BAY PY/86 ST",,  40.602177, -73.993423,,,0,
300431,"BAY PY/80 ST",,  40.605518, -73.989944,,,0,
300432,"BAY PY/78 ST",,  40.606331, -73.989128,,,0,
300433,"KINGS HY/STILLWELL AV",,  40.605900, -73.986603,,,0,
300434,"KINGS HY/W 11 ST",,  40.605564, -73.984352,,,0,
300435,"KINGS HY/W 9 ST",,  40.605270, -73.981712,,,0,
300437,"KINGS HY/W 5 ST",,  40.604797, -73.977707,,,0,
300438,"KINGS HY/W 3 ST",,  40.604591, -73.976318,,,0,
300439,"KINGS HWY/VAN SICKLEN ST",,  40.604267, -73.973534,,,0,
300440,"KINGS HY/MC DONALD AV",,  40.604153, -73.972420,,,0,
300441,"KINGS HY/E 3 ST",,  40.604424, -73.969574,,,0,
300442,"KINGS HY/OCEAN PY",,  40.605438, -73.967361,,,0,
300443,"KINGS HY/E 7 ST",,  40.606182, -73.965271,,,0,
300444,"KINGS HY/E 9 ST",,  40.606812, -73.963333,,,0,
300445,"KINGS HY/CONEY ISLAND AV",,  40.607445, -73.961365,,,0,
300446,"KINGS HY/E 13 ST",,  40.607883, -73.960213,,,0,
300448,"KINGS HY/E 18 ST",,  40.610012, -73.955223,,,0,
300449,"KINGS HY/OCEAN AV",,  40.610527, -73.953720,,,0,
300450,"KINGS HY/E 22 ST",,  40.611317, -73.951180,,,0,
300451,"KINGS HY/BEDFORD AV",,  40.612831, -73.949265,,,0,
300452,"KINGS HY/E 27 ST",,  40.614021, -73.947571,,,0,
