shape_id,sequence_id,meters,stop_id
B490170,22,3646.9,303985
B490170,23,3808.1,303986
B490170,24,4162.4,303988
B490170,25,4255.0,303987
B490170,26,4470.3,303989
B490170,27,4727.7,303990
B490170,28,5002.3,300876
B490170,29,5220.2,300877
B490170,30,5406.1,306730
B490170,31,5787.9,303996
B490170,32,6062.8,303997
B490170,33,6278.7,303998
B490170,34,6597.6,303999
B490170,35,6864.2,304000
B490170,36,7140.5,300980
B490170,37,7398.1,304002
B490170,38,7620.8,307626
B490170,39,7969.2,304004
B490170,40,8211.5,304005
B490170,41,8493.8,304006
B490170,42,8769.4,304007
B490170,43,9026.4,304008
B490170,44,9297.1,304009
B490170,45,9583.0,307894
B490170,46,9786.4,304011
B490170,47,10051.7,304012
B490170,48,10297.1,304013
B490170,49,10531.0,304014
B490170,50,10721.9,304015
B490170,51,10949.6,300362
B490170,52,11166.5,300363
B490170,53,11402.9,300364
B490170,54,11523.4,304019
B490170,55,11652.6,300366
B490170,56,11921.1,300367
B490170,57,12046.2,304022
B490170,58,12470.5,304023
B490170,59,12686.8,304024
B490170,60,12903.0,300130
B490170,61,13051.0,300131
B490170,62,13171.9,300132
B490170,63,13462.1,308351
B490170,64,13698.5,300135
B490170,65,13818.3,801143
B490176,1,0.0,303976
B490176,2,940.2,303982
B490176,3,1443.3,303985
B490176,4,2798.2,300876
B490176,5,3243.1,306730
B490176,6,4434.6,303999
B490176,7,5235.1,304002
B490176,8,6040.0,304005
B490176,9,6606.4,304007
B490176,10,7387.5,307894
B490176,11,8559.0,304015
B490176,12,9003.6,300363
B490176,15,10736.1,901443
B490176,16,11655.3,801143
Q520048,1,0.0,552993
Q520048,2,1303.7,550473
Q520048,3,2682.6,553141
Q520048,4,3878.5,550452
Q520048,5,4952.4,550442
Q520048,6,5578.9,550436
Q520048,7,6541.9,553142
Q520048,8,8583.6,552992
Q520048,9,9680.8,550417
Q520048,10,13801.0,550718
Q520048,11,14558.3,550715
Q520048,12,14967.3,550713
Q520048,13,15607.8,550731
Q520048,14,17703.6,550770
Q520048,15,18033.6,550773
Q520048,16,18423.0,550776
Q520048,17,18928.5,550783
Q520048,18,19216.2,553245
Q520048,19,19971.7,553243
M210039,1,0.0,404990
M210039,2,158.6,403851
M210039,3,442.5,400917
M210039,4,604.2,404132
M210039,5,781.9,402022
M210039,6,937.1,402023
M210039,7,1074.6,402024
M210039,8,1226.3,405172
M210039,9,1407.6,402026
M210039,10,1623.6,402028
M210039,11,1771.1,402030
M210039,12,1937.0,401787
M210039,13,2306.4,402032
M210039,14,2416.3,402033
M210039,15,2563.7,402034
M210039,16,2700.2,404100
M210039,17,3053.0,403808
M210039,18,3191.9,401598
M210039,19,3232.9,401599
M210039,20,3579.0,401600
M210039,21,4011.2,803115
Q520047,1,0.0,553243
Q520047,2,174.4,553244
Q520047,3,448.1,550784
Q520047,4,1002.1,550777
Q520047,5,1306.8,550774
Q520047,6,1640.8,550856
Q520047,7,3627.3,553027
Q520047,8,4195.9,550711
Q520047,9,4735.5,553095
Q520047,10,5503.7,550717
Q520047,11,9630.9,550416
Q520047,12,10689.0,553138
Q520047,13,12742.1,550070
Q520047,14,13743.7,550435
Q520047,15,14375.4,550441
Q520047,16,15423.9,550451
Q520047,17,16620.2,550454
Q520047,18,18015.7,550462
Q520047,19,19348.8,504404
Q520047,20,20023.2,552993
Q050164,2,209.1,504467
Q050164,3,857.6,503937
Q050164,4,1118.7,500255
Q050164,5,1245.4,503967
Q050164,6,1507.8,500367
Q050164,7,1694.3,500368
Q050164,8,1812.5,500369
Q050164,9,2025.4,500370
Q050164,10,2187.2,500371
Q050164,11,2391.0,500372
Q050164,12,2591.9,500373
Q050164,13,2700.6,500451
Q050164,14,2984.6,500452
Q050164,15,3182.9,500453
Q050164,16,3393.3,500454
Q050164,17,3546.9,500541
Q050164,18,3681.6,500455
Q050164,19,3906.5,500543
Q050164,20,4221.1,500544
Q050164,21,4400.6,500545
Q050164,22,4548.1,500546
Q050164,23,4705.0,500547
Q050164,24,4962.6,500548
Q050164,25,5164.2,500549
Q050164,26,5312.1,500550
Q050164,27,5476.8,500551
Q050164,28,5701.6,500552
Q050164,29,5903.2,500553
Q050164,30,6111.6,500554
Q050164,31,6240.0,500555
Q050164,32,6394.8,500556
Q050164,33,6559.8,500557
Q050164,34,6720.3,503564
Q050164,35,6884.8,500559
Q050164,36,6998.9,500560
B480059,1,0.0,308076
B480059,2,404.4,306958
B480059,3,595.4,307963
B480059,4,893.2,307964
B480059,5,1223.9,303796
